# of Nodes,Processor,Accelerator,# of Accelerators,Model MLC,Scenario,Host Processor Core Count,tokens_per_second
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,llama2-70b-99,Offline,32,3062.72
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,llama2-70b-99,Server,32,2520.27
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,llama2-70b-99.9,Offline,32,3062.72
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,1,llama2-70b-99.9,Server,32,2520.27
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99,Offline,32,23514.8
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99,Server,32,21028.23
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99.9,Offline,32,23514.8
1,2xAMD EPYC 9374F,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99.9,Server,32,21028.23
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,gptj-99,Offline,96,6985.51
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,gptj-99,Server,96,6070.26
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,gptj-99.9,Offline,96,6985.51
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,gptj-99.9,Server,96,6070.26
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,llama2-70b-99,Offline,96,6673.95
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,llama2-70b-99,Server,96,5788.29
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,llama2-70b-99.9,Offline,96,6673.95
1,AMD EPYC 9654 96-Core Processor,NVIDIA H100-NVL-94GB,4,llama2-70b-99.9,Server,96,5788.29
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,gptj-99,Offline,32,13078.5
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,gptj-99,Server,32,7986.46
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,gptj-99.9,Offline,32,13078.5
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,gptj-99.9,Server,32,7986.46
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,llama2-70b-99,Offline,32,9281.5
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,llama2-70b-99,Server,32,8094.27
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,llama2-70b-99.9,Offline,32,9281.5
1,AMD EPYC 9374F 32-Core Processor,NVIDIA H100-PCIe-80GB,8,llama2-70b-99.9,Server,32,8094.27
1,INTEL(R) XEON(R) PLATINUM 8592+,NVIDIA H100-SXM-80GB,8,gptj-99,Offline,64,19877.6
1,INTEL(R) XEON(R) PLATINUM 8592+,NVIDIA H100-SXM-80GB,8,gptj-99,Server,64,19226.9
