# of Accelerators,# of Nodes,Accelerator,Host Processor Core Count,Model MLC,Processor,Scenario,tokens_per_second
1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99,2xAMD EPYC 9374F,Offline,3062.72
1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99,2xAMD EPYC 9374F,Server,2520.27
1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99.9,2xAMD EPYC 9374F,Offline,3062.72
1,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99.9,2xAMD EPYC 9374F,Server,2520.27
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99,2xAMD EPYC 9374F,Offline,23514.8
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99,2xAMD EPYC 9374F,Server,21028.23
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99.9,2xAMD EPYC 9374F,Offline,23514.8
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,32,llama2-70b-99.9,2xAMD EPYC 9374F,Server,21028.23
4,1,NVIDIA H100-NVL-94GB,96,gptj-99,AMD EPYC 9654 96-Core Processor,Offline,6985.51
4,1,NVIDIA H100-NVL-94GB,96,gptj-99,AMD EPYC 9654 96-Core Processor,Server,6070.26
4,1,NVIDIA H100-NVL-94GB,96,gptj-99.9,AMD EPYC 9654 96-Core Processor,Offline,6985.51
4,1,NVIDIA H100-NVL-94GB,96,gptj-99.9,AMD EPYC 9654 96-Core Processor,Server,6070.26
4,1,NVIDIA H100-NVL-94GB,96,llama2-70b-99,AMD EPYC 9654 96-Core Processor,Offline,6673.95
4,1,NVIDIA H100-NVL-94GB,96,llama2-70b-99,AMD EPYC 9654 96-Core Processor,Server,5788.29
4,1,NVIDIA H100-NVL-94GB,96,llama2-70b-99.9,AMD EPYC 9654 96-Core Processor,Offline,6673.95
4,1,NVIDIA H100-NVL-94GB,96,llama2-70b-99.9,AMD EPYC 9654 96-Core Processor,Server,5788.29
8,1,NVIDIA H100-PCIe-80GB,32,gptj-99,AMD EPYC 9374F 32-Core Processor,Offline,13078.5
8,1,NVIDIA H100-PCIe-80GB,32,gptj-99,AMD EPYC 9374F 32-Core Processor,Server,7986.46
8,1,NVIDIA H100-PCIe-80GB,32,gptj-99.9,AMD EPYC 9374F 32-Core Processor,Offline,13078.5
8,1,NVIDIA H100-PCIe-80GB,32,gptj-99.9,AMD EPYC 9374F 32-Core Processor,Server,7986.46
8,1,NVIDIA H100-PCIe-80GB,32,llama2-70b-99,AMD EPYC 9374F 32-Core Processor,Offline,9281.5
8,1,NVIDIA H100-PCIe-80GB,32,llama2-70b-99,AMD EPYC 9374F 32-Core Processor,Server,8094.27
8,1,NVIDIA H100-PCIe-80GB,32,llama2-70b-99.9,AMD EPYC 9374F 32-Core Processor,Offline,9281.5
